hour_of_day,total_transactions,fraud_count,fraud_rate
0,41758,3271,0.07833229560802721
1,41643,3360,0.08068582955118507
2,41564,3297,0.07932345298816283
3,41933,3315,0.07905468246965397
4,41811,3303,0.07899834971658176
5,41889,3359,0.08018811621189334
6,41430,3345,0.08073859522085446
7,41649,1648,0.03956877716151648
8,41564,1764,0.042440573573284575
9,41423,1807,0.04362310793520508
10,41895,1680,0.040100250626566414
11,41642,1732,0.04159262283271697
12,41654,1670,0.040092188025159646
13,41683,1620,0.03886476501211525
14,41516,1653,0.03981597456402351
15,41697,1669,0.040026860445595606
16,41133,1673,0.04067293900274718
17,41905,1672,0.03989977329674263
18,41723,1766,0.04232677420127987
19,41831,1667,0.039850828333054436
20,41704,1687,0.040451755227316324
21,41924,1708,0.04074038736761759
22,41608,3326,0.07993655066333398
23,41421,3263,0.07877646604379421
