merchant_category,total_transactions,fraud_count,fraud_rate
ATM Withdrawal,66389,5802,0.08739399599331214
Jewelry,66870,5821,0.0870494990279647
Crypto Exchange,66308,5737,0.08652048018338662
Fuel,66843,3234,0.04838202953188816
Electronics,66866,3230,0.04830556635659378
Education,66816,3195,0.04781788793103448
Clothing,66792,3183,0.04765540783327345
Online Shopping,66341,3139,0.04731613934067922
Gaming,66338,3134,0.04724290753414333
Healthcare,66613,3143,0.0471829823007521
Restaurant,66628,3137,0.04708230773848832
Travel,66692,3139,0.047067114496491334
Entertainment,67150,3151,0.04692479523454952
Grocery,66513,3121,0.04692315787891089
Utilities,66841,3089,0.04621414999775587
