hour_of_day,transaction_type,total_transactions,fraud_count,fraud_rate
0,Domestic,35434,2542,0.07173900773268613
0,International,6324,729,0.11527514231499052
1,Domestic,35426,2537,0.07161406876305539
1,International,6217,823,0.13237896091362394
2,Domestic,35226,2540,0.07210583092034292
2,International,6338,757,0.11943830861470496
3,Domestic,35671,2596,0.07277620476016933
3,International,6262,719,0.11481954647077611
4,Domestic,35657,2550,0.07151470959418908
4,International,6154,753,0.12235944101397465
5,Domestic,35510,2568,0.07231765699802872
5,International,6379,791,0.12400062705753252
6,Domestic,35149,2581,0.07343025406128197
6,International,6281,764,0.12163668205699729
7,Domestic,35474,1124,0.03168517787675481
7,International,6175,524,0.0848582995951417
8,Domestic,35242,1245,0.035327166449123204
8,International,6322,519,0.08209427396393547
9,Domestic,35275,1259,0.03569099929128278
9,International,6148,548,0.08913467794404685
10,Domestic,35665,1167,0.032721155194167954
10,International,6230,513,0.08234349919743178
11,Domestic,35270,1191,0.033768074851148286
11,International,6372,541,0.08490269930947897
12,Domestic,35453,1126,0.03176035878487011
12,International,6201,544,0.08772778584099339
13,Domestic,35442,1116,0.03148806500761808
13,International,6241,504,0.08075628905624099
14,Domestic,35276,1123,0.03183467513323506
14,International,6240,530,0.08493589743589744
15,Domestic,35552,1143,0.0321500900090009
15,International,6145,526,0.08559804719283971
16,Domestic,34860,1163,0.03336201950659782
16,International,6273,510,0.08130081300813008
17,Domestic,35618,1142,0.03206244033915436
17,International,6287,530,0.0843009384444091
18,Domestic,35524,1222,0.03439927936043238
18,International,6199,544,0.0877560896918858
19,Domestic,35625,1169,0.032814035087719295
19,International,6206,498,0.08024492426683855
20,Domestic,35458,1164,0.0328275706469626
20,International,6246,523,0.08373358949727826
21,Domestic,35723,1184,0.033143912885256
21,International,6201,524,0.08450249959683923
22,Domestic,35318,2529,0.07160654623704626
22,International,6290,797,0.12670906200317966
23,Domestic,35158,2490,0.07082314124808009
23,International,6263,773,0.12342327957847676
