merchant_category,hour_of_day,total_transactions,fraud_count,fraud_rate
ATM Withdrawal,0,2781,303,0.10895361380798274
ATM Withdrawal,1,2826,334,0.11818825194621373
ATM Withdrawal,2,2787,322,0.11553641908862576
ATM Withdrawal,3,2830,353,0.12473498233215548
ATM Withdrawal,4,2875,294,0.10226086956521739
ATM Withdrawal,5,2726,312,0.1144534115920763
ATM Withdrawal,6,2737,282,0.103032517354768
ATM Withdrawal,7,2817,192,0.06815761448349308
ATM Withdrawal,8,2738,196,0.07158509861212564
ATM Withdrawal,9,2761,210,0.07605939876856212
ATM Withdrawal,10,2780,201,0.0723021582733813
ATM Withdrawal,11,2748,210,0.07641921397379912
ATM Withdrawal,12,2736,197,0.0720029239766082
ATM Withdrawal,13,2706,205,0.07575757575757576
ATM Withdrawal,14,2851,214,0.07506138197123816
ATM Withdrawal,15,2802,183,0.06531049250535331
ATM Withdrawal,16,2705,178,0.06580406654343808
ATM Withdrawal,17,2745,196,0.07140255009107468
ATM Withdrawal,18,2750,195,0.07090909090909091
ATM Withdrawal,19,2725,208,0.0763302752293578
ATM Withdrawal,20,2658,209,0.07863054928517682
ATM Withdrawal,21,2741,195,0.07114191900766144
ATM Withdrawal,22,2809,300,0.10679957280170879
ATM Withdrawal,23,2755,313,0.11361161524500907
Clothing,0,2771,206,0.07434139299891736
Clothing,1,2838,194,0.06835799859055673
Clothing,2,2758,207,0.07505438723712836
Clothing,3,2803,188,0.06707099536211203
Clothing,4,2714,196,0.07221812822402358
Clothing,5,2897,205,0.07076285812909906
Clothing,6,2819,201,0.071301880099326
Clothing,7,2811,90,0.032017075773746
Clothing,8,2707,108,0.03989656446250462
Clothing,9,2793,104,0.0372359470103831
Clothing,10,2727,80,0.029336266960029337
Clothing,11,2743,86,0.03135253372220197
Clothing,12,2770,78,0.02815884476534296
Clothing,13,2800,91,0.0325
Clothing,14,2744,86,0.03134110787172012
Clothing,15,2834,100,0.035285815102328866
Clothing,16,2752,81,0.02943313953488372
Clothing,17,2842,72,0.025334271639690358
Clothing,18,2721,95,0.03491363469312753
Clothing,19,2847,98,0.03442219880576045
Clothing,20,2777,91,0.03276917536910335
Clothing,21,2769,95,0.03430841459010473
Clothing,22,2782,222,0.07979870596693027
Clothing,23,2773,209,0.07536963577353047
Crypto Exchange,0,2724,315,0.11563876651982379
Crypto Exchange,1,2786,301,0.10804020100502512
Crypto Exchange,2,2725,293,0.10752293577981652
Crypto Exchange,3,2719,311,0.11438028687017286
Crypto Exchange,4,2818,325,0.11533002129169624
Crypto Exchange,5,2752,281,0.10210755813953488
Crypto Exchange,6,2629,305,0.11601369341955116
Crypto Exchange,7,2829,203,0.07175680452456698
Crypto Exchange,8,2797,220,0.07865570253843404
Crypto Exchange,9,2784,199,0.07147988505747127
Crypto Exchange,10,2778,214,0.07703383729301656
Crypto Exchange,11,2764,202,0.07308248914616498
Crypto Exchange,12,2809,195,0.06941972232111071
Crypto Exchange,13,2832,197,0.06956214689265537
Crypto Exchange,14,2797,180,0.06435466571326422
Crypto Exchange,15,2719,211,0.0776020595807282
Crypto Exchange,16,2681,193,0.07198806415516598
Crypto Exchange,17,2770,198,0.07148014440433213
Crypto Exchange,18,2775,198,0.07135135135135136
Crypto Exchange,19,2813,201,0.0714539637397796
Crypto Exchange,20,2706,165,0.06097560975609756
Crypto Exchange,21,2790,193,0.06917562724014337
Crypto Exchange,22,2744,339,0.12354227405247814
Crypto Exchange,23,2767,298,0.1076978677267799
Education,0,2864,197,0.06878491620111732
Education,1,2738,219,0.07998539079620161
Education,2,2790,204,0.07311827956989247
Education,3,2848,211,0.07408707865168539
Education,4,2746,208,0.07574654042243263
Education,5,2706,190,0.07021433850702144
Education,6,2839,206,0.07256076083127862
Education,7,2792,86,0.030802292263610316
Education,8,2715,101,0.03720073664825046
Education,9,2762,111,0.04018826937002172
Education,10,2803,79,0.02818408847663218
Education,11,2848,89,0.03125
Education,12,2774,80,0.02883922134102379
Education,13,2757,80,0.029017047515415305
Education,14,2718,82,0.03016924208977189
Education,15,2804,89,0.03174037089871612
Education,16,2757,104,0.0377221617700399
Education,17,2872,102,0.035515320334261836
Education,18,2740,78,0.02846715328467153
Education,19,2689,87,0.03235403495723317
Education,20,2805,88,0.03137254901960784
Education,21,2886,88,0.030492030492030493
Education,22,2798,204,0.07290922087205147
Education,23,2765,212,0.07667269439421338
Electronics,0,2774,209,0.07534246575342465
Electronics,1,2794,191,0.06836077308518253
Electronics,2,2779,198,0.07124865059373875
Electronics,3,2841,175,0.06159802886307638
Electronics,4,2776,205,0.07384726224783862
Electronics,5,2751,206,0.07488186114140312
Electronics,6,2748,209,0.07605531295487628
Electronics,7,2822,82,0.029057406094968107
Electronics,8,2680,72,0.026865671641791045
Electronics,9,2854,118,0.04134548002803083
Electronics,10,2777,99,0.035649981994958585
Electronics,11,2840,88,0.030985915492957747
Electronics,12,2839,93,0.03275801338499472
Electronics,13,2689,82,0.030494607660840462
Electronics,14,2733,90,0.03293084522502744
Electronics,15,2752,100,0.036337209302325583
Electronics,16,2723,84,0.030848329048843187
Electronics,17,2909,129,0.044345135785493296
Electronics,18,2792,97,0.03474212034383954
Electronics,19,2804,86,0.030670470756062766
Electronics,20,2850,118,0.041403508771929824
Electronics,21,2810,82,0.029181494661921707
Electronics,22,2748,227,0.08260553129548763
Electronics,23,2781,190,0.06832074793239842
Entertainment,0,2732,178,0.06515373352855051
Entertainment,1,2844,183,0.06434599156118144
Entertainment,2,2854,186,0.06517168885774352
Entertainment,3,2819,204,0.07236608726498758
Entertainment,4,2835,189,0.06666666666666667
Entertainment,5,2769,195,0.07042253521126761
Entertainment,6,2795,208,0.07441860465116279
Entertainment,7,2743,97,0.035362741523878964
Entertainment,8,2725,97,0.035596330275229356
Entertainment,9,2874,93,0.032359081419624215
Entertainment,10,2757,90,0.03264417845484222
Entertainment,11,2679,94,0.03508771929824561
Entertainment,12,2794,90,0.03221188260558339
Entertainment,13,2769,83,0.029974720115565186
Entertainment,14,2718,98,0.036055923473142015
Entertainment,15,2833,88,0.03106247793858101
Entertainment,16,2817,101,0.03585374511892084
Entertainment,17,2831,89,0.03143765453903214
Entertainment,18,2850,104,0.036491228070175435
Entertainment,19,2903,84,0.028935583878746125
Entertainment,20,2825,107,0.037876106194690264
Entertainment,21,2903,87,0.029968997588701342
Entertainment,22,2786,228,0.08183776022972003
Entertainment,23,2695,178,0.06604823747680891
Fuel,0,2849,213,0.07476307476307477
Fuel,1,2783,220,0.07905138339920949
Fuel,2,2783,196,0.07042759611929572
Fuel,3,2809,193,0.06870772516909933
Fuel,4,2788,213,0.07639885222381636
Fuel,5,2826,217,0.07678697806086342
Fuel,6,2811,207,0.0736392742796158
Fuel,7,2715,103,0.03793738489871087
Fuel,8,2818,98,0.0347764371894961
Fuel,9,2686,95,0.03536857781087118
Fuel,10,2716,88,0.03240058910162003
Fuel,11,2826,93,0.032908704883227176
Fuel,12,2714,84,0.030950626381724394
Fuel,13,2735,78,0.028519195612431443
Fuel,14,2867,96,0.03348447854900593
Fuel,15,2850,85,0.02982456140350877
Fuel,16,2676,97,0.03624813153961136
Fuel,17,2737,88,0.03215199123127512
Fuel,18,2756,105,0.038098693759071114
Fuel,19,2771,86,0.031035727174305305
Fuel,20,2854,95,0.03328661527680449
Fuel,21,2812,100,0.03556187766714083
Fuel,22,2852,192,0.06732117812061711
Fuel,23,2809,192,0.06835172659309363
Gaming,0,2749,207,0.07530010913059294
Gaming,1,2786,192,0.06891600861450108
Gaming,2,2776,196,0.07060518731988473
Gaming,3,2774,185,0.06669069935111752
Gaming,4,2720,190,0.06985294117647059
Gaming,5,2802,212,0.07566024268379729
Gaming,6,2765,183,0.06618444846292948
Gaming,7,2689,80,0.029750836742283376
Gaming,8,2832,101,0.0356638418079096
Gaming,9,2737,104,0.037997807818779684
Gaming,10,2820,106,0.0375886524822695
Gaming,11,2813,101,0.03590472804834696
Gaming,12,2794,95,0.03400143163922691
Gaming,13,2830,69,0.024381625441696114
Gaming,14,2748,86,0.03129548762736536
Gaming,15,2760,105,0.03804347826086957
Gaming,16,2732,77,0.028184480234260616
Gaming,17,2732,99,0.03623718887262079
Gaming,18,2755,83,0.03012704174228675
Gaming,19,2803,76,0.027113806635747414
Gaming,20,2743,84,0.03062340503098797
Gaming,21,2747,102,0.037131416090280304
Gaming,22,2699,207,0.0766950722489811
Gaming,23,2732,194,0.07101024890190337
Grocery,0,2781,183,0.06580366774541532
Grocery,1,2741,171,0.0623859905144108
Grocery,2,2704,205,0.07581360946745562
Grocery,3,2827,211,0.07463742483197736
Grocery,4,2752,185,0.06722383720930232
Grocery,5,2845,210,0.07381370826010544
Grocery,6,2660,197,0.07406015037593985
Grocery,7,2782,83,0.029834651329978434
Grocery,8,2878,105,0.03648366921473245
Grocery,9,2745,95,0.03460837887067395
Grocery,10,2814,84,0.029850746268656716
Grocery,11,2785,94,0.03375224416517056
Grocery,12,2803,102,0.036389582590082056
Grocery,13,2660,92,0.03458646616541353
Grocery,14,2775,100,0.036036036036036036
Grocery,15,2783,82,0.029464606539705354
Grocery,16,2715,91,0.033517495395948435
Grocery,17,2821,77,0.02729528535980149
Grocery,18,2802,85,0.03033547466095646
Grocery,19,2758,96,0.03480783176214648
Grocery,20,2749,88,0.03201164059658058
Grocery,21,2860,96,0.033566433566433566
Grocery,22,2728,171,0.062683284457478
Grocery,23,2745,218,0.07941712204007285
Healthcare,0,2818,193,0.06848828956706884
Healthcare,1,2762,212,0.07675597393193338
Healthcare,2,2814,204,0.07249466950959488
Healthcare,3,2725,193,0.0708256880733945
Healthcare,4,2777,198,0.07129996398991717
Healthcare,5,2807,205,0.0730317064481653
Healthcare,6,2736,206,0.07529239766081872
Healthcare,7,2740,88,0.032116788321167884
Healthcare,8,2738,92,0.03360116873630387
Healthcare,9,2674,102,0.0381451009723261
Healthcare,10,2871,85,0.029606408916753743
Healthcare,11,2734,89,0.032553035844915874
Healthcare,12,2744,86,0.03134110787172012
Healthcare,13,2834,86,0.030345800988002825
Healthcare,14,2787,98,0.035163257983494796
Healthcare,15,2757,79,0.028654334421472614
Healthcare,16,2790,87,0.03118279569892473
Healthcare,17,2790,79,0.028315412186379927
Healthcare,18,2866,86,0.030006978367062107
Healthcare,19,2712,77,0.028392330383480827
Healthcare,20,2790,90,0.03225806451612903
Healthcare,21,2782,102,0.03666427030913012
Healthcare,22,2744,209,0.0761661807580175
Healthcare,23,2821,197,0.06983339241403758
Jewelry,0,2827,310,0.10965688008489564
Jewelry,1,2782,311,0.11179007907979871
Jewelry,2,2758,308,0.1116751269035533
Jewelry,3,2816,312,0.11079545454545454
Jewelry,4,2751,284,0.10323518720465286
Jewelry,5,2829,339,0.11983032873807
Jewelry,6,2733,317,0.11598975484815222
Jewelry,7,2831,206,0.07276580713528788
Jewelry,8,2827,193,0.06827025114962858
Jewelry,9,2706,216,0.07982261640798226
Jewelry,10,2837,195,0.06873457878040183
Jewelry,11,2739,219,0.07995618838992333
Jewelry,12,2805,186,0.06631016042780749
Jewelry,13,2778,197,0.0709143268538517
Jewelry,14,2826,191,0.06758669497523001
Jewelry,15,2777,199,0.07166006481814909
Jewelry,16,2768,220,0.07947976878612717
Jewelry,17,2819,205,0.07272082298687478
Jewelry,18,2794,237,0.08482462419470294
Jewelry,19,2851,192,0.0673447913012978
Jewelry,20,2764,192,0.0694645441389291
Jewelry,21,2751,199,0.07233733187931661
Jewelry,22,2733,297,0.10867178924259056
Jewelry,23,2768,296,0.1069364161849711
Online Shopping,0,2759,184,0.0666908300108735
Online Shopping,1,2714,221,0.08142962417096536
Online Shopping,2,2747,195,0.07098653076083
Online Shopping,3,2711,179,0.06602729620066396
Online Shopping,4,2764,195,0.07054992764109985
Online Shopping,5,2732,186,0.06808199121522694
Online Shopping,6,2773,213,0.07681211684096646
Online Shopping,7,2785,80,0.02872531418312388
Online Shopping,8,2735,104,0.038025594149908595
Online Shopping,9,2794,99,0.03543307086614173
Online Shopping,10,2873,84,0.02923773059519666
Online Shopping,11,2748,88,0.03202328966521106
Online Shopping,12,2731,101,0.03698279018674478
Online Shopping,13,2885,95,0.03292894280762565
Online Shopping,14,2721,92,0.03381109886071297
Online Shopping,15,2745,77,0.028051001821493626
Online Shopping,16,2809,89,0.031683873264506945
Online Shopping,17,2748,87,0.03165938864628821
Online Shopping,18,2734,104,0.038039502560351136
Online Shopping,19,2829,97,0.03428773418168964
Online Shopping,20,2788,88,0.03156384505021521
Online Shopping,21,2719,92,0.033835969106289075
Online Shopping,22,2787,180,0.06458557588805167
Online Shopping,23,2710,209,0.07712177121771217
Restaurant,0,2816,218,0.07741477272727272
Restaurant,1,2685,190,0.07076350093109869
Restaurant,2,2801,201,0.0717600856836844
Restaurant,3,2783,202,0.07258354293927416
Restaurant,4,2888,202,0.06994459833795014
Restaurant,5,2774,191,0.0688536409516943
Restaurant,6,2751,218,0.07924391130498001
Restaurant,7,2714,89,0.03279292557111275
Restaurant,8,2820,94,0.03333333333333333
Restaurant,9,2707,96,0.03546361285555966
Restaurant,10,2747,108,0.039315617036767385
Restaurant,11,2811,97,0.03450729277837069
Restaurant,12,2801,99,0.035344519814352014
Restaurant,13,2793,92,0.03293949158610813
Restaurant,14,2776,74,0.026657060518731988
Restaurant,15,2743,79,0.028800583302952973
Restaurant,16,2679,80,0.029861888764464353
Restaurant,17,2676,79,0.02952167414050822
Restaurant,18,2822,100,0.03543586109142452
Restaurant,19,2765,88,0.03182640144665461
Restaurant,20,2888,94,0.03254847645429363
Restaurant,21,2833,102,0.03600423579244617
Restaurant,22,2760,166,0.060144927536231886
Restaurant,23,2795,178,0.06368515205724508
Travel,0,2759,191,0.06922798115259152
Travel,1,2730,208,0.0761904761904762
Travel,2,2693,178,0.06609728926847382
Travel,3,2836,182,0.06417489421720733
Travel,4,2803,227,0.08098465929361398
Travel,5,2883,216,0.07492195629552549
Travel,6,2796,194,0.06938483547925609
Travel,7,2801,84,0.029989289539450195
Travel,8,2828,100,0.03536067892503536
Travel,9,2714,85,0.03131908621960206
Travel,10,2781,82,0.029485796476087737
Travel,11,2813,101,0.03590472804834696
Travel,12,2796,103,0.03683834048640915
Travel,13,2782,84,0.0301941049604601
Travel,14,2750,86,0.03127272727272727
Travel,15,2779,103,0.03706369197553076
Travel,16,2796,91,0.032546494992846925
Travel,17,2781,88,0.03164329377921611
Travel,18,2814,92,0.032693674484719264
Travel,19,2822,93,0.032955350815024806
Travel,20,2709,95,0.03506829088224437
Travel,21,2730,82,0.030036630036630037
Travel,22,2808,190,0.06766381766381767
Travel,23,2688,184,0.06845238095238096
Utilities,0,2754,164,0.05954974582425563
Utilities,1,2834,213,0.07515878616796048
Utilities,2,2795,204,0.07298747763864043
Utilities,3,2792,216,0.07736389684813753
Utilities,4,2804,192,0.06847360912981455
Utilities,5,2790,194,0.06953405017921147
Utilities,6,2838,199,0.07011980267794221
Utilities,7,2778,85,0.030597552195824333
Utilities,8,2726,83,0.03044754218635363
Utilities,9,2832,80,0.02824858757062147
Utilities,10,2814,85,0.030206112295664535
Utilities,11,2751,81,0.029443838604143947
Utilities,12,2744,81,0.029518950437317785
Utilities,13,2833,89,0.03141546064242852
Utilities,14,2705,80,0.029574861367837338
Utilities,15,2759,89,0.03225806451612903
Utilities,16,2733,100,0.03658982802780827
Utilities,17,2832,84,0.029661016949152543
Utilities,18,2752,107,0.03888081395348837
Utilities,19,2739,98,0.035779481562614096
Utilities,20,2798,83,0.029664045746962117
Utilities,21,2791,93,0.033321390182730205
Utilities,22,2830,194,0.0685512367491166
Utilities,23,2817,195,0.06922257720979766
