variable,minimum,first_quartile,median,mean,third_quartile,maximum,missing_count
account_age_years,0.1,1.4,3.5,4.987911199999985,6.9,30,0
account_balance,100,3609.0175,8092.12,16594.254419900008,18225.025,500000,0
credit_score,300,625,680,679.0287809999993,734,850,0
customer_age,18,32,42,41.77167799999995,51,85,0
distance_from_home_km,0,5.8,13.9,20.00988990000002,27.7,292.1,0
failed_attempts,0,0,0,0.3800719999999896,0,5,0
num_prev_transactions,96,142,150,149.99635000000004,158,213,0
time_since_last_txn_hrs,0,3.45,8.32,12.000945169999998,16.63,154.2,0
transaction_amount,1,33.4,73.12,204.72466542000004,181.45,46129.6,0
transaction_freq_monthly,2,17,20,19.99932200000002,23,44,0
