"variable","category","total_count","nonfraud_count","fraud_count","sample_fraud_rate","sparse_flag","sparse_threshold","cramers_v","rank"
"city","Toronto",115,50,65,0.565217391304348,FALSE,20,0.109876496811357,1
"city","Tokyo",112,48,64,0.571428571428571,FALSE,20,0.109876496811357,1
"city","Manchester",109,59,50,0.458715596330275,FALSE,20,0.109876496811357,1
"city","Melbourne",108,57,51,0.472222222222222,FALSE,20,0.109876496811357,1
"city","Lyon",106,52,54,0.509433962264151,FALSE,20,0.109876496811357,1
"city","Guadalajara",105,43,62,0.59047619047619,FALSE,20,0.109876496811357,1
"city","London",105,58,47,0.447619047619048,FALSE,20,0.109876496811357,1
"city","Mumbai",105,57,48,0.457142857142857,FALSE,20,0.109876496811357,1
"city","Sydney",104,48,56,0.538461538461538,FALSE,20,0.109876496811357,1
"city","Munich",102,48,54,0.529411764705882,FALSE,20,0.109876496811357,1
"city","Delhi",101,48,53,0.524752475247525,FALSE,20,0.109876496811357,1
"city","Vancouver",100,56,44,0.44,FALSE,20,0.109876496811357,1
"city","Mexico City",99,44,55,0.555555555555556,FALSE,20,0.109876496811357,1
"city","São Paulo",99,53,46,0.464646464646465,FALSE,20,0.109876496811357,1
"city","Berlin",98,56,42,0.428571428571429,FALSE,20,0.109876496811357,1
"city","Los Angeles",91,50,41,0.450549450549451,FALSE,20,0.109876496811357,1
"city","New York",89,52,37,0.415730337078652,FALSE,20,0.109876496811357,1
"city","Rio",85,46,39,0.458823529411765,FALSE,20,0.109876496811357,1
"city","Osaka",84,34,50,0.595238095238095,FALSE,20,0.109876496811357,1
"city","Paris",83,41,42,0.506024096385542,FALSE,20,0.109876496811357,1
"country","USA",618,302,316,0.511326860841424,FALSE,20,0.090455459171019,2
"country","India",241,135,106,0.439834024896266,FALSE,20,0.090455459171019,2
"country","UK",195,86,109,0.558974358974359,FALSE,20,0.090455459171019,2
"country","Brazil",169,78,91,0.538461538461538,FALSE,20,0.090455459171019,2
"country","Germany",168,82,86,0.511904761904762,FALSE,20,0.090455459171019,2
"country","Mexico",139,68,71,0.510791366906475,FALSE,20,0.090455459171019,2
"country","Japan",134,76,58,0.432835820895522,FALSE,20,0.090455459171019,2
"country","Canada",130,64,66,0.507692307692308,FALSE,20,0.090455459171019,2
"country","Australia",105,64,41,0.39047619047619,FALSE,20,0.090455459171019,2
"country","France",101,45,56,0.554455445544555,FALSE,20,0.090455459171019,2
