"variable","fraud_group","sample_size","missing_count","nonmissing_count","mean","median","standard_deviation","first_quartile","third_quartile","standardized_mean_difference","rank_biserial_correlation","separation_score","rank"
"transaction_freq_monthly",0,1000,0,1000,19.91,20,4.57064446121012,17,23,0.0908601046320229,0.0517240000000001,0.0908601046320229,1
"transaction_freq_monthly",1,1000,0,1000,20.319,20,4.43112557640538,17,23,0.0908601046320229,0.0517240000000001,0.0908601046320229,1
"account_balance",0,1000,0,1000,15285.71897,7390.005,26179.6129809225,3418.83,16930.5175,0.0834169623619495,0.040543,0.0834169623619495,2
"account_balance",1,1000,0,1000,17591.40429,8157.075,29027.9299441415,3489.5425,19981.5075,0.0834169623619495,0.040543,0.0834169623619495,2
"account_age_years",0,1000,0,1000,4.6781,3.2,4.72756811588054,1.3,6.4,0.0687890910255089,0.0344230000000001,0.0687890910255089,3
"account_age_years",1,1000,0,1000,5.015,3.6,5.06188281745613,1.3,7,0.0687890910255089,0.0344230000000001,0.0687890910255089,3
"customer_age",0,1000,0,1000,42.189,42,13.467763721556,32,51,-0.0251332687608622,-0.013859,0.0251332687608622,4
"customer_age",1,1000,0,1000,41.852,42,13.3490184018261,32,51.25,-0.0251332687608622,-0.013859,0.0251332687608622,4
"credit_score",0,1000,0,1000,677.199,679,79.6624347010716,623,730.25,0.0246192022340471,0.0184660000000001,0.0246192022340471,5
"credit_score",1,1000,0,1000,679.163,682,79.8876615596518,624.75,733,0.0246192022340471,0.0184660000000001,0.0246192022340471,5
"time_since_last_txn_hrs",0,1000,0,1000,11.69547,8.14,11.6826947548858,3.34,16.5725,0.00776127293331566,-0.013699,0.013699,6
"time_since_last_txn_hrs",1,1000,0,1000,11.78776,8.015,12.0958966967852,3.07,16.54,0.00776127293331566,-0.013699,0.013699,6
"num_prev_transactions",0,1000,0,1000,149.976,150,12.4718471354876,142,158,0.00790462220193816,0.0018689999999999,0.00790462220193816,7
"num_prev_transactions",1,1000,0,1000,150.074,150,12.323327001601,142,158,0.00790462220193816,0.0018689999999999,0.00790462220193816,7
